sample_id,sample_type,alumina_content,silica_content,calcia_content,sintering_temperature,holding_time,heating_rate,cooling_rate,alpha_alumina_phase,calcium_aluminate_phase,mullite_phase,glass_phase,grain_size,grain_uniformity,total_porosity,closed_porosity,open_porosity,pore_size,fracture_toughness,flexural_strength,youngs_modulus
CER-381,composition_series,94.14,4.24,1.62,1600,4,10,5,89.4,4.6,8.5,3.9,1.21,0.484,11.45,5.72,5.72,0.1,2.28,576.5,321
CER-382,composition_series,94.16,3.6,2.24,1600,4,10,5,88.8,7.1,7.1,3.6,1.33,0.395,11.24,5.62,5.62,0.1,2.63,595.4,324.8
CER-383,composition_series,94.19,4.01,1.8,1600,4,10,5,87.7,5.1,8.9,2.4,1.2,0.5,10.76,5.38,5.38,0.1,2.54,596.9,342.6
CER-384,composition_series,94.21,4.09,1.7,1600,4,10,5,91.8,4.9,8.9,3,1.71,0.487,11.08,5.54,5.54,0.1,2.62,568.9,336.3
CER-385,composition_series,94.23,3.38,2.39,1600,4,10,5,88.5,7.5,6.5,2.6,1.31,0.469,10.62,5.31,5.31,0.1,2.9,605.8,333
CER-386,composition_series,94.26,3.88,1.86,1600,4,10,5,89.2,6.4,7.9,3.1,1.18,0.473,11.85,5.92,5.92,0.1,2.67,569.6,320.3
CER-387,composition_series,94.28,3.1,2.62,1600,4,10,5,89.4,8.6,6.5,3.6,1.2,0.5,11.85,5.93,5.93,0.1,2.95,582.6,318.2
CER-388,composition_series,94.31,4.28,1.41,1600,4,10,5,90.1,4.6,8.8,3.4,1.61,0.5,11.96,5.98,5.98,0.1,2.41,557.7,323.8
CER-389,composition_series,94.33,3.66,2.01,1600,4,10,5,87.3,6.7,7.7,2.9,1.45,0.425,11.45,5.72,5.72,0.1,2.87,543.3,324.5
CER-390,composition_series,94.35,4.15,1.5,1600,4,10,5,89.2,4.2,8.8,4.5,1.31,0.5,10.46,5.23,5.23,0.1,2.49,580.5,331.5
CER-391,composition_series,94.38,3.46,2.16,1600,4,10,5,89.5,5.9,6.2,3.1,1.27,0.5,11.73,5.87,5.87,0.1,2.66,558.3,324.6
CER-392,composition_series,94.4,3.58,2.02,1600,4,10,5,89,6.4,8,3.5,1.56,0.5,11.92,5.96,5.96,0.1,2.46,533.6,322.6
CER-393,composition_series,94.43,3.17,2.4,1600,4,10,5,89.2,6.8,7.6,2.8,1.34,0.486,11.07,5.53,5.53,0.1,2.2,593.3,330.7
CER-394,composition_series,94.45,2.93,2.62,1600,4,10,5,89.7,6.9,6.5,3.1,1.33,0.5,12.05,6.02,6.02,0.1,2.63,562.4,322.5
CER-395,composition_series,94.47,2.93,2.6,1600,4,10,5,88.8,7.3,6.5,2.7,1.56,0.457,11.21,5.61,5.61,0.1,2.73,543.9,333.8
CER-396,composition_series,94.5,3.84,1.66,1600,4,10,5,90.6,4.6,7.9,3.2,1.5,0.5,11.06,5.53,5.53,0.1,2.7,595.3,327.1
CER-397,composition_series,94.52,4.27,1.21,1600,4,10,5,89.4,3.5,9.5,3.3,1.39,0.474,11.83,5.92,5.92,0.1,2.39,549.1,322.9
CER-398,composition_series,94.55,2.91,2.54,1600,4,10,5,91.5,7.6,7,2.1,1.44,0.5,11.71,5.85,5.85,0.1,2.79,568.4,327.9
CER-399,composition_series,94.57,4.24,1.19,1600,4,10,5,89.4,4.1,8.2,3.5,1.22,0.497,11.58,5.79,5.79,0.1,2.28,578.3,327.6
CER-400,composition_series,94.6,2.71,2.69,1600,4,10,5,89.3,8.9,6.1,3.3,1.47,0.5,11.45,5.72,5.72,0.1,2.65,585.7,333.8
CER-401,composition_series,94.62,3.08,2.3,1600,4,10,5,89.6,5.4,6.8,2.4,1.55,0.453,12.53,6.26,6.26,0.1,2.27,526.6,323.6
CER-402,composition_series,94.64,4.18,1.18,1600,4,10,5,88.8,2.8,9,3.3,1.21,0.463,11.53,5.77,5.77,0.1,2.25,571.6,332.3
CER-403,composition_series,94.67,3.56,1.77,1600,4,10,5,88.6,5.6,8.6,2.9,1.66,0.5,11.83,5.92,5.92,0.1,2.45,539.2,335.1
CER-404,composition_series,94.69,3.84,1.46,1600,4,10,5,90.8,5,9.1,3.9,1.35,0.5,11.25,5.63,5.63,0.1,2.38,586,335.8
CER-405,composition_series,94.72,4.21,1.07,1600,4,10,5,89.9,4.2,8.4,3.7,1.04,0.5,11.66,5.83,5.83,0.1,2.76,622.8,334.3
CER-406,composition_series,94.74,4.16,1.1,1600,4,10,5,91.4,3.7,8.6,2.6,1.33,0.5,11.67,5.84,5.84,0.1,2.98,598.8,328.4
CER-407,composition_series,94.76,3.91,1.33,1600,4,10,5,88.7,4.4,7.7,3.5,1.42,0.5,11.6,5.8,5.8,0.1,2.54,568.6,327
CER-408,composition_series,94.79,2.99,2.22,1600,4,10,5,89,6.3,6.1,2.2,1.33,0.447,11.75,5.87,5.87,0.1,2.46,582.1,317.1
CER-409,composition_series,94.81,3.83,1.36,1600,4,10,5,88,4,8.3,3.6,1.43,0.5,11.1,5.55,5.55,0.1,2.53,581.9,324.7
CER-410,composition_series,94.84,3.99,1.18,1600,4,10,5,90.6,4.3,7.9,2.9,1.39,0.5,12.07,6.04,6.04,0.1,2.46,551.5,321.1
CER-411,composition_series,94.86,3.08,2.06,1600,4,10,5,91.4,6,6.6,2.5,1.2,0.472,11.9,5.95,5.95,0.1,2.75,584.5,319.1
CER-412,composition_series,94.88,3.82,1.3,1600,4,10,5,89.6,3.6,7.9,3.3,1.23,0.5,11.08,5.54,5.54,0.1,2.48,576.3,324.5
CER-413,composition_series,94.91,3.97,1.13,1600,4,10,5,89.3,3.4,8.3,3.4,0.83,0.476,11.83,5.92,5.92,0.1,2.82,591.5,333.3
CER-414,composition_series,94.93,3.23,1.84,1600,4,10,5,89.8,5.5,6.4,3.5,1.32,0.5,11.14,5.57,5.57,0.1,2.29,584,331.6
CER-415,composition_series,94.96,3.01,2.03,1600,4,10,5,90.4,5.9,7.2,3.7,1.37,0.5,11.75,5.88,5.88,0.1,2.78,566.1,319.7
CER-416,composition_series,94.98,3.96,1.06,1600,4,10,5,89.2,3.6,8.8,4.2,1.24,0.5,10.88,5.44,5.44,0.1,2.52,612.5,335.3
CER-417,composition_series,95,2.66,2.34,1600,4,10,5,88,7.4,5.7,2.7,1.68,0.5,11.12,5.56,5.56,0.1,2.9,562.7,328.4
CER-418,composition_series,95.03,2.55,2.42,1600,4,10,5,89.6,6.9,5.5,2,1.57,0.5,11.51,5.75,5.75,0.1,2.6,567.8,325.8
CER-419,composition_series,95.05,3.36,1.59,1600,4,10,5,90.1,4.6,6.7,3,1.27,0.5,11.13,5.57,5.57,0.1,2.61,586.4,328.8
CER-420,composition_series,95.08,3.87,1.05,1600,4,10,5,89.4,3.1,8.4,3.6,1.33,0.495,11.64,5.82,5.82,0.1,2.74,558.3,322.7
CER-421,composition_series,95.1,3.3,1.6,1600,4,10,5,91.2,4.9,6.9,2.3,1.6,0.484,11.27,5.63,5.63,0.1,2.72,587.5,335.1
CER-422,composition_series,95.12,2.44,2.43,1600,4,10,5,90,7.7,5.7,1.6,1.29,0.44,11.3,5.65,5.65,0.1,2.97,617.8,318.1
CER-423,composition_series,95.15,3.24,1.61,1600,4,10,5,90.3,4.8,6.9,3.8,1.72,0.44,11.76,5.88,5.88,0.1,2.67,562.9,316.8
CER-424,composition_series,95.17,2.73,2.1,1600,4,10,5,90.7,5.9,6.4,2.1,1.22,0.381,11.67,5.83,5.83,0.1,2.48,599.4,331
CER-425,composition_series,95.2,3.66,1.15,1600,4,10,5,90.9,3.9,8.1,2.7,1.35,0.5,10.41,5.21,5.21,0.1,2.62,599.3,333.2
CER-426,composition_series,95.22,3.79,0.99,1600,4,10,5,91.4,3.4,8.6,3.2,1.33,0.467,11.17,5.58,5.58,0.1,2.76,590.9,324.1
CER-427,composition_series,95.24,2.49,2.27,1600,4,10,5,89.7,7.3,5.4,1.8,1.44,0.5,10.83,5.42,5.42,0.1,2.56,563.3,330.7
CER-428,composition_series,95.27,3.38,1.35,1600,4,10,5,89.7,5.4,7.3,3.1,1.1,0.5,11.11,5.55,5.55,0.1,2.77,607.3,335.2
CER-429,composition_series,95.29,3.17,1.54,1600,4,10,5,90.2,3.9,6.7,2.7,1.31,0.5,11.57,5.78,5.78,0.1,2.36,579.6,330.2
CER-430,composition_series,95.32,2.99,1.7,1600,4,10,5,90,5.8,6.3,2.1,1.35,0.5,11.91,5.96,5.96,0.1,2.34,554.8,333.6
CER-431,composition_series,95.34,2.95,1.71,1600,4,10,5,90,4.5,6,3.1,1.16,0.486,11.81,5.9,5.9,0.1,2.82,579.4,325.3
CER-432,composition_series,95.36,2.7,1.94,1600,4,10,5,90.1,6.4,5.3,2.4,0.9,0.5,11.54,5.77,5.77,0.1,3.16,615.2,322.7
CER-433,composition_series,95.39,3.07,1.54,1600,4,10,5,90.7,4.2,6.1,2,1.57,0.39,11.52,5.76,5.76,0.1,2.36,562.6,324.3
CER-434,composition_series,95.41,2.75,1.84,1600,4,10,5,89.6,6,6.8,2.5,1.25,0.5,11.41,5.71,5.71,0.1,2.35,588,338.2
CER-435,composition_series,95.44,2.29,2.27,1600,4,10,5,89.9,6.1,4.8,2.4,1.4,0.5,11.44,5.72,5.72,0.1,2.51,581.9,333.5
CER-436,composition_series,95.46,3.17,1.37,1600,4,10,5,90.5,4.6,7.4,2.1,1.16,0.5,11.23,5.62,5.62,0.1,2.85,614.1,324.7
CER-437,composition_series,95.48,2.63,1.88,1600,4,10,5,89.7,5.3,5.8,1.6,1.28,0.5,10.69,5.35,5.35,0.1,2.72,592.2,331.7
CER-438,composition_series,95.51,3.29,1.2,1600,4,10,5,89.5,4.2,7,3.3,1.13,0.5,12.76,6.38,6.38,0.1,2.32,553.2,315
CER-439,composition_series,95.53,2.86,1.61,1600,4,10,5,90.9,4.5,6.5,2.1,1.33,0.5,11.53,5.76,5.76,0.1,2.45,578.9,324.9
CER-440,composition_series,95.56,2.89,1.55,1600,4,10,5,90.3,3.5,6.6,2.2,1.42,0.445,12.1,6.05,6.05,0.1,2.19,540.3,327.7
CER-441,composition_series,95.58,2.9,1.52,1600,4,10,5,90.3,4.8,6.3,3.2,1.45,0.487,12.12,6.06,6.06,0.1,2.53,561.5,319.6
CER-442,composition_series,95.61,2.29,2.1,1600,4,10,5,89.4,6.4,4.3,1.8,1.08,0.5,11.33,5.67,5.67,0.1,2.33,629.2,337.4
CER-443,composition_series,95.63,2.33,2.04,1600,4,10,5,91,6.6,5.6,2.3,1.23,0.5,10.89,5.44,5.44,0.1,2.67,631.9,338.8
CER-444,composition_series,95.65,2.72,1.62,1600,4,10,5,89.1,4.4,6,2.1,1.19,0.451,12.39,6.19,6.19,0.1,2.25,563.1,323.8
CER-445,composition_series,95.68,2.78,1.54,1600,4,10,5,90.3,5.3,6.6,2,1.39,0.5,10.99,5.49,5.49,0.1,3.18,576.1,341.3
CER-446,composition_series,95.7,2.31,1.99,1600,4,10,5,91.3,5.9,5.5,1.8,1.01,0.5,11.6,5.8,5.8,0.1,2.38,608.1,328.6
CER-447,composition_series,95.73,2.86,1.41,1600,4,10,5,89.7,4.4,6.4,3.1,0.98,0.486,10.89,5.45,5.45,0.1,2.53,621.6,325.2
CER-448,composition_series,95.75,2.4,1.85,1600,4,10,5,91.1,5.4,5.8,2.5,1.23,0.5,10.72,5.36,5.36,0.1,3.04,608.3,326.2
CER-449,composition_series,95.77,2.74,1.48,1600,4,10,5,88.9,4.4,6.9,2.9,1.46,0.5,11.58,5.79,5.79,0.1,2.62,568.8,322.2
CER-450,composition_series,95.8,2.71,1.49,1600,4,10,5,91,4.9,6.1,1.9,1.3,0.5,11.28,5.64,5.64,0.1,2.72,616.2,328
CER-451,composition_series,95.82,2.35,1.83,1600,4,10,5,87.8,5.9,5.6,1.9,1.28,0.5,10.87,5.44,5.44,0.1,2.66,607.4,338.3
CER-452,composition_series,95.85,2.92,1.24,1600,4,10,5,90.3,3.6,6.3,2.5,1.58,0.5,11.04,5.52,5.52,0.1,2.65,559.1,337
CER-453,composition_series,95.87,2.07,2.06,1600,4,10,5,92.4,5.7,4.2,2.1,1.16,0.5,10.84,5.42,5.42,0.1,2.72,628.7,337
CER-454,composition_series,95.89,2.14,1.96,1600,4,10,5,90.9,6,4.9,2.5,1.43,0.5,12.02,6.01,6.01,0.1,2.72,546.9,330.1
CER-455,composition_series,95.92,3.05,1.03,1600,4,10,5,90.9,2.5,6.8,2.2,1.21,0.5,11.08,5.54,5.54,0.1,2.64,573,328.6
CER-456,composition_series,95.94,2.12,1.94,1600,4,10,5,89.7,6.4,5.7,2.3,1.39,0.441,11.01,5.51,5.51,0.1,2.99,568.2,335.1
CER-457,composition_series,95.97,2.04,1.99,1600,4,10,5,91.5,6.2,5.3,1.7,1.17,0.494,11.33,5.67,5.67,0.1,2.7,615.1,332.3
CER-458,composition_series,95.99,2.06,1.95,1600,4,10,5,91,5.8,4.1,1.1,1.28,0.5,12.49,6.25,6.25,0.1,2.69,578.8,325.5
CER-459,composition_series,96.01,2.28,1.71,1600,4,10,5,88.7,5.2,5.7,2.9,1.35,0.5,11.33,5.66,5.66,0.1,2.82,585.7,334.2
CER-460,composition_series,96.04,2.46,1.5,1600,4,10,5,92.1,4,5.3,2.1,1.33,0.5,11.64,5.82,5.82,0.1,2.37,569.8,331.9
CER-461,composition_series,96.06,2.01,1.93,1600,4,10,5,90.5,5.6,4.5,0.7,0.95,0.5,11.13,5.56,5.56,0.1,3,632.7,331.7
CER-462,composition_series,96.09,2,1.91,1600,4,10,5,90.5,5.2,4.6,2.1,1.31,0.463,10.73,5.37,5.37,0.1,2.75,596.4,333.4
CER-463,composition_series,96.11,2.71,1.17,1600,4,10,5,92.4,3.5,5.9,2.3,1.81,0.464,11.56,5.78,5.78,0.1,2.08,585.7,321.4
CER-464,composition_series,96.13,2.44,1.43,1600,4,10,5,90.8,4.7,5.4,2,1.15,0.5,10.95,5.48,5.48,0.1,2.35,633.5,337.7
CER-465,composition_series,96.16,2.54,1.31,1600,4,10,5,89.8,4.5,5.6,2.6,1.55,0.5,12.2,6.1,6.1,0.1,2.69,529.7,320.4
CER-466,composition_series,96.18,2.28,1.54,1600,4,10,5,90.9,4.3,5,2.1,1.59,0.5,11.68,5.84,5.84,0.1,2.39,575.4,322.5
CER-467,composition_series,96.21,1.94,1.86,1600,4,10,5,89.6,5.9,4.7,1.5,1.14,0.475,12.46,6.23,6.23,0.1,2.64,547.6,328.8
CER-468,composition_series,96.23,2.91,0.86,1600,4,10,5,92.6,2.6,5.2,1.9,1.48,0.5,10.97,5.48,5.48,0.1,2.08,578.4,335.3
CER-469,composition_series,96.25,1.89,1.85,1600,4,10,5,91.2,5.5,4.4,1.9,1.62,0.5,11.94,5.97,5.97,0.1,2.26,550,330.3
CER-470,composition_series,96.28,2.21,1.51,1600,4,10,5,91,5,4.9,1.2,1.58,0.444,11.62,5.81,5.81,0.1,2.43,570.4,331.4
CER-471,composition_series,96.3,2.55,1.15,1600,4,10,5,91.5,4,6.5,2.3,1.72,0.5,11.29,5.65,5.65,0.1,2.29,580.1,332.9
CER-472,composition_series,96.33,2.65,1.02,1600,4,10,5,90.6,3.2,6,2.4,0.93,0.5,11.23,5.61,5.61,0.1,2.9,609.1,327.8
CER-473,composition_series,96.35,2.26,1.39,1600,4,10,5,91.6,4.2,5.9,1.8,1.66,0.5,10.84,5.42,5.42,0.1,2.51,599.6,337
CER-474,composition_series,96.37,2.3,1.32,1600,4,10,5,91.2,3.7,6.4,1.6,0.93,0.5,11.5,5.75,5.75,0.1,2.4,602.3,324.5
CER-475,composition_series,96.4,1.96,1.65,1600,4,10,5,90.8,5.5,4.9,2.1,1.31,0.5,11.71,5.85,5.85,0.1,2.7,548.5,327.2
CER-476,composition_series,96.42,1.86,1.72,1600,4,10,5,91.5,6.4,4.3,2.1,1.37,0.493,11.58,5.79,5.79,0.1,2.75,586.3,336.9
CER-477,composition_series,96.45,2.04,1.51,1600,4,10,5,91.6,4.6,5.7,2,1.2,0.475,10.98,5.49,5.49,0.1,2.63,582.4,336.8
CER-478,composition_series,96.47,2.33,1.2,1600,4,10,5,90,4.6,5.4,1.5,1.56,0.5,10.91,5.46,5.46,0.1,2.26,570.4,337.8
CER-479,composition_series,96.49,2.13,1.38,1600,4,10,5,90.4,5.2,4.8,1.7,1.5,0.484,11.06,5.53,5.53,0.1,2.74,594.9,337.1
CER-480,composition_series,96.52,2.46,1.02,1600,4,10,5,92.5,3.5,5.9,1.7,1.22,0.498,11.24,5.62,5.62,0.1,2.1,613.2,331.4
CER-481,composition_series,96.54,2.53,0.93,1600,4,10,5,92.4,3,6.3,3.1,1.5,0.5,11.52,5.76,5.76,0.1,2.45,559.5,334.8
CER-482,composition_series,96.57,2.22,1.21,1600,4,10,5,91.4,3.9,5.5,1.9,1.74,0.5,11.82,5.91,5.91,0.1,2.49,559,316.1
CER-483,composition_series,96.59,2.36,1.05,1600,4,10,5,92,4.1,5.7,1.9,1.48,0.48,11.53,5.77,5.77,0.1,2.91,576.6,323.1
CER-484,composition_series,96.62,2.38,1.01,1600,4,10,5,91.9,3.3,5.5,2.1,1.18,0.45,11.45,5.73,5.73,0.1,2.62,606.4,321.5
CER-485,composition_series,96.64,2.25,1.11,1600,4,10,5,90.6,3.2,4.8,1.8,1.72,0.416,11.85,5.93,5.93,0.1,2.49,547.9,326.9
CER-486,composition_series,96.66,2.28,1.05,1600,4,10,5,91.5,4.2,5.1,2.8,1.58,0.44,11.36,5.68,5.68,0.1,2.35,582.6,329.9
CER-487,composition_series,96.69,2.54,0.78,1600,4,10,5,92.6,3.5,5.6,2.4,1.41,0.5,10.31,5.16,5.16,0.1,2.73,602.5,328.2
CER-488,composition_series,96.71,1.68,1.61,1600,4,10,5,92.3,4.9,3.7,1.7,1.22,0.477,11.81,5.91,5.91,0.1,2.98,587.8,326.1
CER-489,composition_series,96.74,2.3,0.96,1600,4,10,5,91,2.6,6.3,1.9,1.25,0.5,11.21,5.6,5.6,0.1,2.57,610.6,333.4
CER-490,composition_series,96.76,2.09,1.15,1600,4,10,5,90.1,3.2,5.1,1.8,1.12,0.5,11.75,5.88,5.88,0.1,2.79,571.8,332.5
CER-491,composition_series,96.78,2.11,1.11,1600,4,10,5,92,3.3,4.6,1.5,1.44,0.441,10.98,5.49,5.49,0.1,2.96,577.4,329.4
CER-492,composition_series,96.81,2.45,0.74,1600,4,10,5,90.7,3,5.6,1.2,1.27,0.5,10.92,5.46,5.46,0.1,2.68,596,332.2
CER-493,composition_series,96.83,1.67,1.5,1600,4,10,5,93.4,4.3,4.7,2.4,1.12,0.458,11.94,5.97,5.97,0.1,2.29,566.6,321.6
CER-494,composition_series,96.86,2.26,0.88,1600,4,10,5,92.2,2.3,5.2,0.8,1.28,0.5,12.2,6.1,6.1,0.1,2.31,563.7,333.2
CER-495,composition_series,96.88,1.79,1.33,1600,4,10,5,90.7,4.3,5.4,2.9,1.17,0.481,11.77,5.88,5.88,0.1,2.68,596.3,330.9
CER-496,composition_series,96.9,2.03,1.07,1600,4,10,5,90.3,3.9,4.5,1.1,1.26,0.5,11.93,5.96,5.96,0.1,2.7,554.7,334.3
CER-497,composition_series,96.93,1.74,1.33,1600,4,10,5,92.2,4.5,4.2,2,1.41,0.478,11.69,5.84,5.84,0.1,2.97,577.5,332.6
CER-498,composition_series,96.95,1.95,1.1,1600,4,10,5,91.9,3.4,3.7,0.9,1.34,0.444,11.69,5.85,5.85,0.1,2.29,550.9,338.9
CER-499,composition_series,96.98,1.81,1.21,1600,4,10,5,90.1,3.7,4.3,1.2,1.23,0.5,12.47,6.23,6.23,0.1,2.52,549.8,319.7
CER-500,composition_series,97,1.5,1.5,1600,4,10,5,92.5,4.2,4,1.6,1.14,0.491,11.5,5.75,5.75,0.1,2.62,593,337.4
CER-501,temperature_series,92,5,3,1500,4,10,5,82.8,6.5,9.1,7.5,0.5,0.462,11.95,5.98,5.98,4.06,2.89,591.5,315.7
CER-502,temperature_series,92,5,3,1501.6,4,10,5,83.4,6.5,8.1,7.5,0.56,0.5,13.01,6.51,6.51,4.02,2.65,560.3,303.1
CER-503,temperature_series,92,5,3,1503.2,4,10,5,83.7,6.7,8.3,7,0.5,0.5,12.52,6.26,6.26,4.16,2.95,608.2,304.3
CER-504,temperature_series,92,5,3,1504.8,4,10,5,83,6.7,9.1,6.1,0.58,0.453,12.4,6.2,6.2,4.15,2.86,617.1,306.6
CER-505,temperature_series,92,5,3,1506.5,4,10,5,82.9,7.4,8.4,7.5,0.64,0.5,12.52,6.26,6.26,4.15,3.09,533,305.8
CER-506,temperature_series,92,5,3,1508.1,4,10,5,81.7,6.8,8,7.2,0.72,0.5,13.56,6.78,6.78,4.09,2.97,496.9,305.9
CER-507,temperature_series,92,5,3,1509.7,4,10,5,82.9,6.8,8,6.8,0.5,0.467,13.1,6.55,6.55,3.94,3.2,577.4,303.9
CER-508,temperature_series,92,5,3,1511.3,4,10,5,82,7.3,8.7,7.6,0.5,0.458,12.57,6.29,6.29,3.64,2.87,592.7,304.7
CER-509,temperature_series,92,5,3,1512.9,4,10,5,83.2,6.8,8.5,7.1,0.85,0.5,13.02,6.51,6.51,3.86,2.79,508.5,301.5
CER-510,temperature_series,92,5,3,1514.5,4,10,5,82.6,7.4,9.5,7.1,0.5,0.5,12.32,6.16,6.16,3.46,3.04,610.8,302.9
CER-511,temperature_series,92,5,3,1516.1,4,10,5,83.9,8.3,8.2,7.1,0.57,0.5,13.24,6.62,6.62,3.53,3.09,595.4,301.3
CER-512,temperature_series,92,5,3,1517.7,4,10,5,83.5,6.8,8.3,6.8,0.5,0.418,11.66,5.83,5.83,3.19,3.2,652.8,316.1
CER-513,temperature_series,92,5,3,1519.4,4,10,5,83.2,6.9,9.1,6.9,0.6,0.5,12.7,6.35,6.35,3.44,2.66,601.5,306.9
CER-514,temperature_series,92,5,3,1521,4,10,5,83.1,7.3,8.3,7.1,0.5,0.5,12.39,6.19,6.19,3.86,2.91,601.1,305.1
CER-515,temperature_series,92,5,3,1522.6,4,10,5,83.4,8,8.8,6.1,0.57,0.488,12.02,6.01,6.01,3.4,2.7,614.1,318
CER-516,temperature_series,92,5,3,1524.2,4,10,5,84.2,7.3,8.9,6.2,0.5,0.5,12.47,6.23,6.23,2.83,2.83,650.3,304.4
CER-517,temperature_series,92,5,3,1525.8,4,10,5,83.2,7.6,8.3,6.3,0.5,0.461,12.82,6.41,6.41,3.45,2.97,591.1,301.8
CER-518,temperature_series,92,5,3,1527.4,4,10,5,83.7,7.6,8.7,6.6,0.5,0.5,12.22,6.11,6.11,3.06,2.77,628.8,308.9
CER-519,temperature_series,92,5,3,1529,4,10,5,82.9,7.4,8.3,7.1,0.51,0.469,12.81,6.41,6.41,2.66,2.52,597.2,302.6
CER-520,temperature_series,92,5,3,1530.6,4,10,5,84.2,7.7,9,6.9,0.5,0.5,12.6,6.3,6.3,3.17,2.64,592.3,310.2
CER-521,temperature_series,92,5,3,1532.3,4,10,5,83.2,7.4,8.9,5.8,0.93,0.5,11.74,5.87,5.87,2.52,3.04,544.9,316.6
CER-522,temperature_series,92,5,3,1533.9,4,10,5,85,7.9,8,6.9,0.5,0.5,12.16,6.08,6.08,2.66,3,621.1,309.1
CER-523,temperature_series,92,5,3,1535.5,4,10,5,84.2,6.7,8.1,6.7,1.06,0.491,12.9,6.45,6.45,2.76,2.61,481.5,305.6
CER-524,temperature_series,92,5,3,1537.1,4,10,5,83.9,7.6,8.4,7.2,1.1,0.415,13,6.5,6.5,2.71,2.55,488.9,304.3
CER-525,temperature_series,92,5,3,1538.7,4,10,5,84.4,7.5,8.3,5.3,1.13,0.404,11.4,5.7,5.7,2,2.8,576.7,335.6
CER-526,temperature_series,92,5,3,1540.3,4,10,5,84.7,6.7,8.7,6.3,0.5,0.5,12.2,6.1,6.1,2.41,2.65,636.5,308.8
CER-527,temperature_series,92,5,3,1541.9,4,10,5,84.9,7.4,9.2,5.7,1,0.491,12.22,6.11,6.11,2.32,2.84,531.6,306.1
CER-528,temperature_series,92,5,3,1543.5,4,10,5,84.7,7.4,7.9,6.2,0.64,0.499,12.37,6.19,6.19,1.94,2.7,587.8,315.1
CER-529,temperature_series,92,5,3,1545.2,4,10,5,84.1,6.9,9.2,5.5,0.82,0.5,12.81,6.41,6.41,2.21,2.92,542.2,306.7
CER-530,temperature_series,92,5,3,1546.8,4,10,5,83.2,7.6,9.1,6.8,0.86,0.5,11.83,5.92,5.92,1.98,3.07,533.3,312.6
CER-531,temperature_series,92,5,3,1548.4,4,10,5,86.7,7.4,10.1,5.7,0.71,0.5,13.11,6.55,6.55,1.93,2.8,558.4,310.5
CER-532,temperature_series,92,5,3,1550,4,10,5,83.5,9.1,8.6,6.7,0.99,0.5,11.81,5.9,5.9,1.84,2.81,541.9,316.3
CER-533,temperature_series,92,5,3,1551.6,4,10,5,86.2,7.8,9.3,5.7,1.17,0.5,12.55,6.27,6.27,1.52,2.74,508.9,300.8
CER-534,temperature_series,92,5,3,1553.2,4,10,5,86,7,8.8,6.8,1.01,0.5,11.54,5.77,5.77,1.5,2.78,554.8,325.1
CER-535,temperature_series,92,5,3,1554.8,4,10,5,84.6,7.4,9.1,5,0.94,0.5,12.2,6.1,6.1,1.71,2.85,557.3,309.6
CER-536,temperature_series,92,5,3,1556.5,4,10,5,85.3,8.3,9.2,5.8,0.96,0.5,11.88,5.94,5.94,1.15,2.71,588.5,317.8
CER-537,temperature_series,92,5,3,1558.1,4,10,5,83.2,8,10,5.7,1.07,0.5,12.33,6.16,6.16,1.59,2.95,531.6,310.1
CER-538,temperature_series,92,5,3,1559.7,4,10,5,86.6,7.3,9.2,6,0.97,0.5,13.06,6.53,6.53,1.46,2.38,530.1,302.6
CER-539,temperature_series,92,5,3,1561.3,4,10,5,84,7.7,9,5.1,1.17,0.5,12.43,6.22,6.22,1.48,2.61,508.3,317
CER-540,temperature_series,92,5,3,1562.9,4,10,5,86,7.7,10.5,5.5,0.99,0.5,13.16,6.58,6.58,1.04,2.57,550,306.3
CER-541,temperature_series,92,5,3,1564.5,4,10,5,84.5,8.4,10.1,6,0.81,0.476,12.81,6.4,6.4,1.34,2.6,556.1,315.3
CER-542,temperature_series,92,5,3,1566.1,4,10,5,86.6,8.5,9.9,6.6,1.01,0.481,12.37,6.18,6.18,1.28,2.76,533.5,316.6
CER-543,temperature_series,92,5,3,1567.7,4,10,5,83.6,8.5,9.2,5.5,1.06,0.5,12.21,6.1,6.1,1.08,2.63,528.6,315.2
CER-544,temperature_series,92,5,3,1569.4,4,10,5,83.6,8.5,9.9,5.9,0.74,0.468,12.35,6.17,6.17,1.07,3.15,560.5,303.1
CER-545,temperature_series,92,5,3,1571,4,10,5,84.6,8.4,9.3,4.4,1.09,0.462,11.73,5.86,5.86,1.06,2.84,580.5,317
CER-546,temperature_series,92,5,3,1572.6,4,10,5,85.8,8.6,9.3,6.3,1.33,0.463,11.39,5.7,5.7,0.31,2.5,545.4,325.8
CER-547,temperature_series,92,5,3,1574.2,4,10,5,86.6,7.9,9.1,5.5,1.25,0.5,11.54,5.77,5.77,1.02,2.36,554.6,317.8
CER-548,temperature_series,92,5,3,1575.8,4,10,5,86.2,7.4,9.2,4.4,1.2,0.416,11.47,5.73,5.73,0.18,2.99,568.1,324.2
CER-549,temperature_series,92,5,3,1577.4,4,10,5,86.3,8.7,9.7,5.4,1.35,0.5,12.15,6.07,6.07,0.65,2.96,519.8,321
CER-550,temperature_series,92,5,3,1579,4,10,5,87.5,7.6,10.1,4.9,1.11,0.485,11.9,5.95,5.95,0.1,2.94,571.1,323.6
CER-551,temperature_series,92,5,3,1580.6,4,10,5,86.1,7.8,10.6,5.7,1.46,0.409,11.33,5.67,5.67,0.13,2.86,573.1,320
